iid,gender,condtn,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match.prob
216,1,2,27,8,2,7,1,55080,5,3,7,2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6,0
217,1,2,26,10,2,8,1,64716,4,2,2,1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,3,0.421052632
218,1,2,24,10,2,9,5,61231,4,2,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3,0.05
219,1,2,26,8,2,1,1,55639,3,2,7,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,7,0.352941176
220,1,2,25,13,6,1,1,47939,5,2,6,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,10,0.15
221,1,2,27,8,4,6,1,33277,6,3,7,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,6,0.222222222
222,1,2,27,2,2,8,3,28870,6,3,2,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,3,0
223,1,2,28,7,2,6,6,27248,4,2,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7,0.05
224,1,2,32,3,2,1,3,29981,7,4,15,6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,5,0.2
225,1,2,28,8,3,4,9,30441,7,2,7,10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4,0.125
226,1,2,23,8,2,1,3,22805,3,1,6,10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,3,0.210526316
227,1,2,26,8,2,7,7,56118,6,3,7,7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,5,0.157894737
228,1,2,24,10,4,1,4,39468,7,3,2,3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,7,0.052631579
229,1,2,28,10,2,7,1,30146,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,0.210526316
230,1,2,42,13,2,5,1,39123,7,3,7,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5,0.210526316
231,1,2,30,13,3,1,1,46153,6,3,9,5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,5,0.166666667
232,1,2,31,13,2,4,7,45300,5,4,9,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,4,0.052631579
233,1,2,29,13,4,1,1,42397,3,2,7,10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7,0.263157895
234,0,1,22,3,6,1,5,44346,7,3,2,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,5,0
235,0,1,23,9,2,3,1,42261,4,3,2,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5,0.222222222
236,0,1,24,10,4,3,3,42225,7,1,2,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,7,0
237,0,1,34,7,2,10,1,37405,7,4,6,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,4,0.111111111
238,0,1,27,15,2,3,5,28524,2,1,6,8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7,6,5,0.222222222
239,0,1,34,10,2,6,6,26384,6,3,7,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,7,0.111111111
240,0,1,26,8,4,1,1,61141,6,3,6,10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2,0.125
241,0,1,29,8,4,1,1,8607,4,2,7,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,2,0.333333333
242,0,1,26,3,3,3,3,29284,7,3,2,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,6,0.555555556
243,1,1,27,16,2,2,3,31365,6,2,2,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,6,0.375
244,1,1,28,8,2,8,9,33996,5,3,7,5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3,1,5,0.111111111
245,1,1,32,7,2,1,6,38405,5,2,1,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,2,0.111111111
246,1,1,25,10,2,7,1,41476,7,6,2,6,5,5,7,5,5,3,2,6,8,8,9,9,8,9,5,2,3,0.125
247,1,1,25,10,4,1,1,44260,6,4,2,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,6,0
248,1,1,27,8,6,1,1,49841,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,0.375
249,1,1,33,8,6,2,7,46477,3,1,7,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5,0
250,1,1,25,6,6,1,1,46148,2,1,2,7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6,5,7,0.555555556
251,1,1,33,7,6,2,2,45145,4,1,10,7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2,3,5,0.111111111
252,0,2,28,13,3,1,1,43318,6,2,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,10,0.111111111
253,0,2,33,3,4,1,1,38643,6,6,2,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,7,0.111111111
254,0,2,22,7,2,8,3,37240,6,2,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,6,0
255,0,2,26,10,4,3,1,36594,7,3,4,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,6,0
256,0,2,24,4,4,6,5,62997,6,4,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,0.15
257,0,2,24,9,2,5,6,46608,5,1,2,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10,3,0
258,0,2,25,9,6,1,10,37881,6,1,2,9,6,7,7,8,3,10,4,1,10,3,8,5,2,6,6,2,6,0.277777778
259,0,2,25,10,2,2,2,48944,7,1,2,8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5,6,5,0.052631579
260,0,2,27,10,4,4,4,59436,7,3,2,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,6,0.333333333
261,0,2,26,10,4,1,4,77112,7,2,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,0.25
262,0,2,29,3,2,1,10,43468,6,3,10,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,1,0
263,0,2,26,3,1,9,10,18283,6,2,10,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,1,0.263157895
264,0,2,26,6,2,1,3,31432,6,2,2,7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2,1,3,0.235294118
265,0,2,32,1,2,3,3,73073,5,2,2,2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2,1,3,0.0625
266,0,2,28,16,2,2,2,51557,7,3,10,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,4,0.2
267,0,2,26,10,4,2,2,38279,3,3,4,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4,0
268,0,2,24,4,3,1,1,26706,6,1,4,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,5,0.444444444
269,0,2,24,7,2,4,5,31821,6,2,2,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2,6,0.333333333
270,0,2,23,10,4,2,4,39653,5,1,2,8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4,5,0.277777778
271,0,2,23,11,2,10,9,50060,4,1,11,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,8,0.095238095
272,0,2,25,11,2,10,10,25401,4,1,11,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8,8,0
273,1,2,29,10,2,8,4,40489,5,2,2,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5,0.066666667
274,1,2,24,3,3,3,3,51891,4,2,2,3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8,7,6,0.315789474
275,1,2,21,5,2,1,1,70260,4,3,7,9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,6,0.052631579
276,1,2,26,10,2,7,3,80608,4,1,2,6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2,2,4,0.25
277,1,2,25,10,2,1,1,68557,7,5,2,10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1,2,5,0.238095238
278,1,2,32,5,2,1,1,52210,3,1,2,8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5,1,8,0
279,1,2,25,10,2,7,1,43844,4,2,2,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,7,0.238095238
280,1,2,25,10,2,2,1,47279,6,2,2,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,5,0.25
281,1,2,27,3,2,2,5,50383,5,5,2,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,2,0.1
282,1,2,23,5,1,1,1,52284,4,3,7,10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5,1,5,0.3
283,1,2,27,5,4,1,1,49257,4,2,7,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5,0.095238095
284,1,2,27,8,2,1,5,51101,5,2,6,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,7,0.052631579
285,1,2,24,5,6,1,1,52149,6,6,7,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,10,0.117647059
286,1,2,22,2,2,4,7,51267,6,3,2,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,0
287,1,2,22,13,4,1,1,51782,7,3,6,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,0
288,1,2,27,3,2,3,5,53196,6,3,2,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5,0.210526316
289,1,2,28,8,4,1,2,53229,4,1,7,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,7,0.277777778
290,1,2,34,10,2,2,6,47714,5,2,2,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,5,0.105263158
291,1,2,27,10,4,5,5,34736,3,2,4,9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5,5,6,0.263157895
292,1,2,28,13,1,7,1,25786,2,1,7,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,6,0.210526316
293,1,2,28,8,3,3,7,31760,5,2,7,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6,0.105263158
294,0,2,30,9,4,1,1,37988,6,2,2,7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,6,0.076923077
295,0,2,30,9,2,5,7,39394,6,1,2,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,6,0
296,0,2,28,9,2,10,10,40695,4,2,2,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,3,0.230769231
297,0,2,21,9,2,9,8,45788,2,1,2,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,7,0.285714286
298,0,2,22,6,2,7,1,37315,6,2,2,3,1,3,5,10,10,3,1,4,10,5,10,10,10,10,9,7,1,0
299,0,2,24,11,4,1,1,51663,6,2,2,7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,5,0.076923077
300,0,2,35,3,2,1,1,32563,6,2,2,8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2,9,0.153846154
301,0,2,34,9,2,3,8,34904,4,1,2,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,2,0.181818182
302,0,2,21,3,2,8,7,54303,3,1,12,10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,8,0
303,0,2,33,9,2,2,1,16908,5,1,2,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,6,0.083333333
304,0,2,28,3,2,1,10,39729,7,2,12,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,6,0.076923077
305,0,2,29,9,4,6,9,38228,4,1,2,8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,4,0.153846154
306,0,2,22,9,4,6,2,49665,6,3,2,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,7,0.071428571
307,0,2,27,9,4,1,3,57316,7,2,2,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,3,0.25
308,1,2,27,9,4,7,3,45653,7,2,2,7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,7,0.083333333
309,1,2,32,9,2,5,9,30587,3,2,2,6,4,4,9,8,10,8,5,7,9,6,8,9,8,10,4,4,7,0.153846154
310,1,2,25,5,2,7,8,55080,3,1,10,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6,0.076923077
311,1,2,29,8,4,1,1,57513,6,1,7,10,8,9,10,7,6,8,9,1,7,4,6,8,10,10,9,8,8,0.076923077
312,1,2,23,15,2,3,1,33772,4,2,6,7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,5,0.071428571
313,1,2,27,8,2,2,3,39361,4,1,6,9,8,6,8,6,3,6,1,9,6,3,2,7,8,10,5,1,6,0.083333333
314,1,2,32,13,6,3,1,38148,6,2,2,9,2,7,8,6,4,2,2,2,6,7,3,7,6,8,8,8,6,0
315,1,2,27,5,2,1,4,34405,5,3,2,8,2,2,8,8,8,8,2,8,7,1,8,9,7,7,2,2,5,0.142857143
316,1,2,25,8,2,3,3,31857,4,1,7,9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,5,0.428571429
317,1,2,30,8,2,1,1,30609,4,1,7,8,1,5,10,6,10,4,3,8,4,1,10,10,8,9,1,1,7,0.230769231
318,1,2,29,8,6,1,1,28372,6,1,7,8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,6,0
319,1,2,26,9,2,2,4,25816,7,2,2,8,7,5,7,5,4,8,7,1,5,7,2,2,10,9,2,3,7,0.230769231
320,1,2,36,7,2,6,8,23207,5,5,2,4,1,9,9,8,4,6,3,1,10,1,5,7,2,5,2,1,6,0
321,1,2,29,8,2,3,3,24246,5,1,7,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,6,0
322,0,1,34,3,4,2,1,24719,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,0.222222222
323,0,1,25,5,4,1,1,25301,4,3,2,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,8,0.333333333
324,0,1,23,3,2,8,3,25716,4,2,3,8,8,6,10,8,8,9,6,9,7,8,10,8,10,10,7,7,5,0.444444444
325,0,1,30,3,3,2,4,25828,6,2,3,5,7,9,9,9,9,7,7,7,9,7,9,9,9,9,4,6,6,0.333333333
326,0,1,36,9,1,5,5,25304,6,4,2,2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,8,0.25
327,0,1,29,13,2,2,7,25446,6,3,7,1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,5,0
328,0,1,30,9,2,1,1,25610,3,1,2,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,6,0.111111111
329,0,1,29,9,2,1,1,25693,6,2,2,3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,4,0
330,0,1,22,5,4,3,3,25290,7,3,10,8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,7,0.142857143
331,0,1,34,9,2,1,1,25501,6,3,2,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,4,0
332,1,1,30,3,4,1,1,25751,7,4,2,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7,0.2
333,1,1,23,8,2,5,3,26032,3,1,7,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,0.2
334,1,1,29,8,4,1,1,26667,5,3,4,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,5,0
335,1,1,24,3,2,1,8,26654,3,3,2,9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,6,0.111111111
336,1,1,25,17,3,1,5,26668,5,2,17,5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,4,0.1
337,1,1,28,5,2,1,1,26650,5,3,5,9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,0.375
338,1,1,27,5,6,1,1,26625,4,2,7,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,2,0.2
341,0,2,23,13,4,3,10,26583,6,1,10,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5,0.176470588
342,0,2,33,9,3,2,1,26512,6,3,2,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,2,0.058823529
343,0,2,32,10,2,5,6,25831,2,1,4,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7,5,0.125
344,0,2,26,13,3,1,3,28759,4,3,9,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,5,0.235294118
345,0,2,24,10,2,7,6,25401,7,4,4,5,1,10,6,5,5,3,4,8,9,6,7,7,8,9,6,9,6,0.235294118
347,0,2,26,9,1,1,1,19264,6,1,13,1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5,0
348,0,2,21,9,4,3,3,41778,6,1,2,3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,5,0.055555556
349,0,2,33,3,2,1,7,35963,4,2,7,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6,0.411764706
350,0,2,31,10,2,9,5,35512,7,3,4,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,6,0.117647059
351,0,2,35,9,4,1,3,40463,5,4,2,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8,0.294117647
352,0,2,29,9,6,6,6,42866,4,3,6,8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,9,0.176470588
353,0,2,25,9,4,7,7,45334,2,1,2,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,5,0.0625
354,0,2,22,3,2,9,8,49409,6,1,3,10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6,7,0.444444444
355,0,2,24,3,2,10,2,39171,4,3,3,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,7,0.058823529
356,0,2,27,3,2,2,4,31516,7,2,3,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,4,0.058823529
357,0,2,27,9,4,10,10,36223,4,2,2,2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1,1,0.166666667
358,0,2,26,8,4,1,1,43367,5,3,7,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,5,0.117647059
359,0,2,26,6,2,1,5,27503,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,0.1875
360,0,2,24,3,6,8,4,33475,6,2,3,9,7,6,9,7,8,9,9,1,7,6,7,7,10,10,7,8,7,0.235294118
361,1,2,34,1,2,5,5,35187,6,6,1,3,1,3,5,9,10,3,3,4,10,6,8,9,7,7,3,2,5,0.0625
362,1,2,30,1,2,1,1,30701,4,3,1,8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,9,0.294117647
363,1,2,23,5,4,1,1,26298,6,2,7,3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,7,0.105263158
364,1,2,27,8,3,6,2,27696,4,2,7,9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,6,0.315789474
365,1,2,30,8,2,1,1,28904,2,1,10,7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,8,0.055555556
366,1,2,27,8,2,4,6,34559,4,1,6,6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,5,0.526315789
367,1,2,27,13,2,6,3,37540,4,1,13,6,7,8,8,5,5,3,4,8,5,6,3,3,7,8,7,2,8,0.222222222
368,1,2,24,13,6,1,1,42535,4,2,6,4,6,4,8,9,7,3,8,9,9,9,7,9,8,9,8,4,4,0.3
369,1,2,25,3,2,1,8,31148,5,3,3,2,6,2,6,7,7,7,1,1,10,3,7,5,6,8,1,1,7,0.4
370,1,2,28,8,2,7,4,55704,4,1,7,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7,0.05
371,1,2,27,8,2,3,1,69487,7,1,9,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,6,0.2
372,1,2,27,8,2,9,7,46138,5,2,10,9,10,8,9,9,9,7,4,2,9,6,8,6,7,7,4,2,5,0.15
373,1,2,29,8,3,3,1,54357,5,2,7,7,5,8,8,7,6,3,5,9,8,2,3,4,5,9,8,2,9,0.210526316
374,1,2,30,8,4,6,6,59208,4,2,7,10,10,8,7,8,8,5,5,6,5,6,9,10,9,8,4,4,7,0.058823529
375,1,2,27,8,2,3,2,60442,3,1,1,9,8,5,8,4,4,2,2,7,5,6,5,6,3,6,7,3,5,0.176470588
376,1,2,25,8,4,10,7,66827,5,2,10,4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,5,0.105263158
377,1,2,26,8,4,3,2,49886,5,1,7,7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,6,0.055555556
378,1,2,29,8,2,3,2,42897,5,2,7,9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,6,0.052631579
379,0,2,38,8,2,4,6,31809,7,2,7,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,5,0.125
380,0,2,33,14,1,4,8,37502,7,4,6,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,6,0.105263158
381,0,2,24,14,2,6,3,46351,4,1,6,5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2,0.105263158
382,0,2,28,14,2,8,1,52010,7,3,6,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,0.222222222
383,0,2,27,9,2,10,5,60275,6,2,7,9,7,9,9,8,8,5,1,5,6,9,4,9,8,7,7,4,4,0.222222222
384,0,2,23,9,2,9,6,72444,5,3,10,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,8,0.333333333
385,0,2,25,9,2,5,8,78704,5,3,2,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8,7,0.352941176
386,0,2,26,3,2,4,2,75347,7,2,3,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,0.117647059
387,0,2,25,3,2,5,2,65236,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,6,0.421052632
388,0,2,24,3,2,1,6,47005,4,2,3,7,4,8,7,3,3,5,3,4,7,6,6,7,6,6,6,4,4,0.058823529
389,0,2,21,1,2,1,1,52805,3,1,1,7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7,8,7,0.421052632
390,0,2,30,9,4,1,10,50852,4,3,2,6,1,6,10,6,6,8,1,4,10,6,8,8,8,8,4,6,6,0.157894737
391,0,2,28,6,2,1,5,50725,4,1,6,8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4,2,4,0.055555556
392,0,2,26,6,2,6,1,49409,4,3,6,4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7,7,3,0.111111111
393,0,2,22,6,2,4,8,65693,7,1,6,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,6,0.294117647
394,0,2,24,6,2,1,6,45736,4,2,6,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,6,0.055555556
395,0,2,33,6,2,1,2,33906,4,2,6,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,4,0.105263158
396,0,2,25,15,4,1,5,50501,7,2,6,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,4,0.111111111
397,1,2,24,1,2,3,2,46216,5,2,1,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,6,0.2
398,1,2,29,8,2,7,2,47344,3,1,7,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,8,0.333333333
399,1,2,29,8,2,1,1,48785,4,2,7,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,7,0.058823529
400,1,2,26,8,2,7,7,49285,4,2,7,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,3,0.333333333
401,1,2,31,8,2,1,1,50189,4,1,7,10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7,3,9,0.058823529
402,1,2,29,2,4,1,1,51736,4,2,7,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,6,0.0625
403,1,2,22,5,2,6,6,53615,5,3,7,9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2,1,6,0.058823529
404,1,2,23,5,2,1,4,54635,5,2,7,10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,7,0.5
405,1,2,30,13,1,1,1,55080,5,5,9,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,6,0
406,1,2,27,8,4,1,1,56271,6,2,7,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6,0.277777778
407,1,2,24,14,2,1,1,58909,4,2,6,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,5,0.111111111
408,1,2,24,13,3,1,1,61809,7,1,9,7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,6,0.3125
409,1,2,23,5,2,5,5,62805,6,3,2,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7,0.277777778
410,1,2,27,8,2,8,8,55080,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,0.2
411,1,2,34,8,2,8,2,80006,4,1,7,7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8,3,3,0.058823529
412,1,2,27,8,2,1,1,69713,5,2,7,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,4,0.235294118
413,1,2,26,8,2,5,3,60240,1,2,8,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,8,0.0625
414,1,2,29,8,2,2,10,55080,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,0.375
415,1,2,31,8,2,3,1,52318,4,2,7,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,4,0.0625
416,0,1,25,3,3,3,3,62844,4,1,3,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3,3,0.75
417,0,1,29,3,2,1,1,52401,5,3,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,5,0.125
418,0,1,25,1,4,7,3,52586,7,2,1,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,5,0
419,0,1,28,11,2,0,1,29236,2,1,11,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,5,0.125
420,0,1,22,11,2,1,1,31486,4,2,11,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,5,0.25
421,0,1,25,11,4,5,5,78704,4,3,11,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,7,0.25
422,1,1,26,8,2,6,7,31632,4,2,7,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,8,0.666666667
423,1,1,30,8,2,1,1,65482,4,1,7,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,6,0.333333333
424,1,1,24,5,4,4,4,73214,6,3,2,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,6,0.333333333
425,1,1,28,8,2,3,7,106663,4,2,7,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,6,0
426,1,1,24,8,2,4,7,82710,2,1,13,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,7,0.166666667
427,1,1,28,13,2,1,1,84043,7,3,15,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,6,0
428,1,1,27,8,4,8,8,35224,2,1,7,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,8,0.333333333
